name,id,family,order,genus,nutritions.calories,nutritions.fat,nutritions.sugar,nutritions.carbohydrates,nutritions.protein
Persimmon,52,Ebenaceae,Rosales,Diospyros,81,0.0,18.0,18.0,0.0
Strawberry,3,Rosaceae,Rosales,Fragaria,29,0.4,5.4,5.5,0.8
Banana,1,Musaceae,Zingiberales,Musa,96,0.2,17.2,22.0,1.0
Tomato,5,Solanaceae,Solanales,Solanum,74,0.2,2.6,3.9,0.9
Pear,4,Rosaceae,Rosales,Pyrus,57,0.1,10.0,15.0,0.4
Durian,60,Malvaceae,Malvales,Durio,147,5.3,6.75,27.1,1.5
Blackberry,64,Rosaceae,Rosales,Rubus,40,0.4,4.5,9.0,1.3
Lingonberry,65,Ericaceae,Ericales,Vaccinium,50,0.34,5.74,11.3,0.75
Kiwi,66,Actinidiaceae,Struthioniformes,Apteryx,61,0.5,9.0,15.0,1.1
Lychee,67,Sapindaceae,Sapindales,Litchi,66,0.44,15.0,17.0,0.8
Pineapple,10,Bromeliaceae,Poales,Ananas,50,0.12,9.85,13.12,0.54
Fig,68,Moraceae,Rosales,Ficus,74,0.3,16.0,19.0,0.8
Gooseberry,69,Grossulariaceae,Saxifragales,Ribes,44,0.6,0.0,10.0,0.9
Passionfruit,70,Passifloraceae,Malpighiales,Passiflora,97,0.7,11.2,22.4,2.2
Plum,71,Rosaceae,Rosales,Prunus,46,0.28,9.92,11.4,0.7
Orange,2,Rutaceae,Sapindales,Citrus,43,0.2,8.2,8.3,1.0
GreenApple,72,Rosaceae,Rosales,Malus,21,0.1,6.4,3.1,0.4
Raspberry,23,Rosaceae,Rosales,Rubus,53,0.7,4.4,12.0,1.2
Watermelon,25,Cucurbitaceae,Cucurbitales,Citrullus,30,0.2,6.0,8.0,0.6
Lemon,26,Rutaceae,Sapindales,Citrus,29,0.3,2.5,9.0,1.1
Mango,27,Anacardiaceae,Sapindales,Mangifera,60,0.38,13.7,15.0,0.82
Blueberry,33,Rosaceae,Rosales,Fragaria,29,0.4,5.4,5.5,0.0
Apple,6,Rosaceae,Rosales,Malus,52,0.4,10.3,11.4,0.3
Guava,37,Myrtaceae,Myrtales,Psidium,68,1.0,9.0,14.0,2.6
Apricot,35,Rosaceae,Rosales,Prunus,15,0.1,3.2,3.9,0.5
Melon,41,Cucurbitaceae,Cucurbitaceae,Cucumis,34,0.0,8.0,8.0,0.0
Tangerine,77,Rutaceae,Sapindales,Citrus,45,0.4,9.1,8.3,0.0
Pitahaya,78,Cactaceae,Caryophyllales,Cactaceae,36,0.4,3.0,7.0,1.0
Lime,44,Rutaceae,Sapindales,Citrus,25,0.1,1.7,8.4,0.3
Pomegranate,79,Lythraceae,Myrtales,Punica,83,1.2,13.7,18.7,1.7
Dragonfruit,80,Cactaceae,Caryophyllales,Selenicereus,60,1.5,8.0,9.0,9.0
Grape,81,Vitaceae,Vitales,Vitis,69,0.16,16.0,18.1,0.72
Morus,82,Moraceae,Rosales,Morus,43,0.39,8.1,9.8,1.44
Feijoa,76,Myrtaceae,Myrtoideae,Sellowiana,44,0.4,3.0,8.0,0.6
Avocado,84,Lauraceae,Laurales,Persea,160,14.66,0.66,8.53,2.0
Kiwifruit,85,Actinidiaceae,Ericales,Actinidia,61,0.5,8.9,14.6,1.14
Cranberry,87,Ericaceae,Ericales,Vaccinium,46,0.1,4.0,12.2,0.4
Cherry,9,Rosaceae,Rosales,Prunus,50,0.3,8.0,12.0,1.0
Peach,86,Rosaceae,Rosales,Prunus,39,0.25,8.4,9.5,0.9
Jackfruit,94,Moraceae,Rosales,Artocarpus,95,0.0,19.1,23.2,1.72
Horned Melon,95,Cucurbitaceae,Cucurbitales,Cucumis,44,1.26,0.5,7.56,1.78
Hazelnut,96,Betulaceae,Fagales,Corylus,628,61.0,4.3,17.0,15.0
Pomelo,98,Rutaceae,Sapindales,Citrus,37,0.0,8.5,9.67,0.82
Mangosteen,99,Clusiaceae,Malpighiales,Garcinia,73,0.58,16.11,17.91,0.41
Pumpkin,100,Cucurbitaceae,Cucurbitales,Cucurbita,25,0.3,3.3,4.6,1.1
Japanese Persimmon,101, Ebenaceae, Ericales,Diospyros,70,0.2,13.0,19.0,0.6
Papaya,42,Caricaceae,Brassicales,Carica,39,0.3,4.4,5.8,0.5
Annona,103,Annonaceae,Rosales,Annonas,92,0.29,3.4,19.1,1.5
Ceylon Gooseberry,104,Salicaceae,Malpighiales,Dovyalis,47,0.3,8.1,9.6,1.2
